bairro_origem,bairro_destino,logradouro,peso
Jaqueira,Tamarineira,Avenida Conselheiro Rosa E Silva,471.16
Água Fria,Fundão,Rua Jornalista Jose Campelo Junior,475.92
Curado,San Martin,Rua Dr Flavio Ferreira Da Silva Marojo,475.99
Água Fria,Bomba do Hemetério,Rua Riolandia,479.0
Boa Vista,Ilha do Leite,Rua General Joaquim Inacio,480.27
Afogados,Mustardinha,Rua Apucarana,481.43
Aflitos,Graças,Avenida Santos Dumont,481.96
Ponto de Parada,Rosarinho,Rua Treze De Junho,483.54
Estância,Jardim São Paulo,Rua Senador Alberto Pasqualini,484.23
Cidade Universitária,Iputinga,Rua Mauriceia,484.48
Casa Amarela,Tamarineira,Rua Guimaraes Peixoto,485.11
Ilha do Leite,Paissandu,Rua Frei Matias Tevis,486.59
Coqueiral,Tejipió,Rua Alcantara,487.71
Bongi,San Martin,Rua Acajutiba,488.14
Cordeiro,Zumbi,Rua Ribeiro Roma,489.29
Rosarinho,Tamarineira,Rua General Abreu E Lima,491.7
Parnamirim,Tamarineira,Rua Desembargador Gois Cavalcante,492.56
Água Fria,Fundão,Rua Alto Bonito,493.18
Estância,Jardim São Paulo,Rua Dr Gustavo Pinto,495.81
Boa Vista,Soledade,Rua Do Progresso,495.84
Boa Vista,Paissandu,Avenida Lins Petit,497.51
Água Fria,Arruda,Rua Expedicionario Jamil Dagli,501.33
Imbiribeira,Pina,Rua Sao Jose,504.4
Bongi,Mustardinha,Rua Joao Trajano Da Silva,506.69
Jaqueira,Tamarineira,Rua Do Futuro,506.98
Cajueiro,Campina do Barreto,Rua Hercilia De Medeiros,507.33
Alto José do Pinho,Mangabeira,Rua Severino Bernardino Pereira,507.41
Boa Vista,Soledade,Avenida Joao De Barros,507.89
Brasília Teimosa,Pina,Rua Comendador Morais,509.51
Córrego do Jenipapo,Nova Descoberta,Avenida Norte Miguel Arraes De Alencar,509.77
Casa Amarela,Parnamirim,Rua Ferreira Lopes,514.82
Bongi,Mustardinha,Rua Dr Joao Costa,515.93
Brejo da Guabiraba,Córrego do Jenipapo,Rua Alto Do Reservatorio,516.31
Cidade Universitária,Várzea,Rua Eduardo Dubeux,517.14
Mangueira,San Martin,Rua Bom Jardim,519.67
Boa Vista,Santo Amaro,Rua Bispo Cardoso Ayres,520.19
Beberibe,Linha do Tiro,Rua Alto Dos Coqueiros,525.92
Boa Vista,Coelhos,Rua Dos Coelhos,526.07
Areias,Estância,Avenida Estancia,526.18
Ponto de Parada,Rosarinho,Rua Couto Magalhaes,527.26
Água Fria,Fundão,Rua Dr Pereira Da Silva,527.96
Encruzilhada,Hipódromo,Rua Frederico,528.04
Alto José do Pinho,Mangabeira,Rua Lage De Una,528.89
Jiquiá,San Martin,Rua Pedro Boulitreau,528.89
Nova Descoberta,Vasco da Gama,Rua Luiz Cesario De Melo,530.05
Curado,San Martin,Rua Coronel Mizael De Mendonca,530.85
Campina do Barreto,Peixinhos,Avenida Poeta Vinicius De Morais,533.82
Água Fria,Arruda,Rua Alegre,534.17
Boa Vista,Santo Antônio,Rua Da Aurora,534.2
Afogados,Prado,Rua Santa Edwirges,534.89
Brejo da Guabiraba,Passarinho,Rua Santa Tereza,538.25
Água Fria,Bomba do Hemetério,Rua Corrego Joao Francisco,542.16
Cajueiro,Porto da Madeira,Rua Dr Alberto Wanderley,544.49
Boa Vista,Soledade,Rua Barao De Sao Borja,545.67
Morro da Conceição,Vasco da Gama,Rua Itaguatiara,547.05
Cajueiro,Fundão,Avenida Nova Do Fundao,550.74
Beberibe,Porto da Madeira,Rua Do Anil,551.11
Madalena,Torre,Rua Padre Anchieta,551.18
Graças,Rosarinho,Avenida Santos Dumont,553.15
Afogados,Mustardinha,Rua Capitao Adolfo Taquis,553.53
Afogados,Mangueira,Rua Bom Jardim,558.14
San Martin,Torrões,Avenida Recife,559.87
Cordeiro,Zumbi,Rua Gregorio Junior,560.34
Ponto de Parada,Rosarinho,Rua Salvador De Sa,563.52
Encruzilhada,Ponto de Parada,Rua Professor Jeronimo Gueiros,565.58
Cordeiro,Iputinga,Rua Joao Rozendo,566.81
Alto do Mandu,Apipucos,Rua Mandacaru,567.76
Rosarinho,Tamarineira,Rua Doutor Jose Maria,568.63
Bongi,Prado,Rua Dr Severino Jatoba,574.47
Campo Grande,Encruzilhada,Rua Professor Jeronimo Gueiros,574.88
Estância,Jardim São Paulo,Rua N S De Fatima,576.19
Alto José Bonifácio,Linha do Tiro,Rua Bismarck De Freitas,576.61
Brejo da Guabiraba,Córrego do Jenipapo,Rua Corrego Da Loura,576.91
Ponto de Parada,Rosarinho,Avenida Santos Dumont,587.01
Alto José Bonifácio,Vasco da Gama,Rua Ary Peter,590.72
Boa Vista,Derby,Rua Henrique Dias,592.69
Espinheiro,Graças,Rua Santo Elias,593.21
Madalena,Zumbi,Rua Visconde Do Uruguai,594.87
Sancho,Totó,Avenida Liberdade,595.6
Água Fria,Bomba do Hemetério,Rua Antonio Meira,600.28
Santo Amaro,Soledade,Rua Gervasio Pires,601.65
Sítio dos Pintos,Dois Irmãos,Rua Dois Irmãos,602.0
Brejo da Guabiraba,Guabiraba,Avenida Embaixador Assis Chateaubriand,603.06
Cordeiro,Torrões,Rua Ocidental,603.21
Coqueiral,Totó,Rua Paulino De Farias,604.24
Curado,Jardim São Paulo,Rua Coronel Fernando Machado,604.24
Cordeiro,Zumbi,Rua Gomes Taborda,606.31
Cidade Universitária,Engenho do Meio,Rua General Vargas,609.94
Aflitos,Espinheiro,Rua Conselheiro Portela,612.54
Boa Vista,Santo Amaro,Rua Da Uniao,612.56
Cajueiro,Porto da Madeira,Rua Arao Botler,613.0
Cordeiro,Torrões,Rua Onze De Fevereiro,616.64
Ponto de Parada,Rosarinho,Avenida Professor Jose Dos Anjos,617.41
Fundão,Porto da Madeira,Rua Conselheiro Barros Barreto,618.3
Ilha do Retiro,Madalena,Rua Comendador Bento Aguiar,618.88
Mustardinha,San Martin,Rua Dom Expedito Lopes,618.88
Santo Antônio,São José,Rua Da Palma,619.32
Curado,Torrões,Rua Vinte E Um De Abril,620.72
Madalena,Torre,Rua Dom Manoel Da Costa,620.97
Madalena,Zumbi,Rua Dom Manoel Da Costa,620.97
Torre,Zumbi,Rua Dom Manoel Da Costa,620.97
Macaxeira,Nova Descoberta,Rua Carlos Marighella,623.62
Boa Vista,Ilha do Leite,Rua Marques Amorim,625.93
